date,VIX1D,OVX,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,SKEW,VIX_TERM_SLOPE
1991-09-17,,,,17.68,,,,116.36,
1991-09-18,,,,17.56,,,,117.85,
1991-09-19,,,,17.56,,,,107.99,
1991-09-20,,,,17.08,,,,120.99,
1991-09-23,,,,16.38,,,,108.5,
1991-09-24,,,,16.04,,,,109.78,
1991-09-25,,,,15.68,,,,110.82,
1991-09-26,,,,15.35,,,,108.89,
1991-09-27,,,,16.31,,,,108.36,
1991-09-30,,,,15.85,,,,112.13,
1991-10-01,,,,14.81,,,,112.65,
1991-10-02,,,,15.81,,,,111.58,
1991-10-03,,,,17.04,,,,105.71,
1991-10-04,,,,15.63,,,,103.93,
1991-10-07,,,,18.58,,,,109.8,
1991-10-08,,,,17.81,,,,111.17,
1991-10-09,,,,18.54,,,,109.44,
1991-10-10,,,,17.8,,,,103.82,
1991-10-11,,,,17.6,,,,104.66,
1991-10-14,,,,16.71,,,,107.26,
1991-10-15,,,,16.22,,,,106.99,
1991-10-16,,,,14.85,,,,106.17,
1991-10-17,,,,16.32,,,,107.81,
1991-10-18,,,,15.87,,,,110.28,
1991-10-21,,,,16.66,,,,108.97,
1991-10-22,,,,16.55,,,,107.68,
1991-10-23,,,,16.26,,,,108.42,
1991-10-24,,,,15.62,,,,107.0,
1991-10-25,,,,15.75,,,,107.45,
1991-10-28,,,,15.45,,,,107.96,
1991-10-29,,,,15.55,,,,109.14,
1991-10-30,,,,15.46,,,,110.2,
1991-10-31,,,,15.48,,,,109.63,
1991-11-01,,,,15.6,,,,110.19,
1991-11-04,,,,16.35,,,,110.87,
1991-11-05,,,,16.48,,,,110.11,
1991-11-06,,,,16.47,,,,110.91,
1991-11-07,,,,15.97,,,,110.4,
1991-11-08,,,,15.43,,,,110.37,
1991-11-11,,,,14.89,,,,109.45,
1991-11-12,,,,14.04,,,,109.91,
1991-11-13,,,,13.95,,,,109.81,
1991-11-14,,,,13.96,,,,110.23,
1991-11-15,,,,21.18,,,,114.77,
1991-11-18,,,,18.28,,,,116.46,
1991-11-19,,,,20.34,,,,119.79,
1991-11-20,,,,20.4,,,,115.57,
1991-11-21,,,,19.11,,,,114.38,
1991-11-22,,,,21.2,,,,111.76,
1991-11-25,,,,21.92,,,,115.37,
1991-11-26,,,,19.8,,,,117.42,
1991-11-27,,,,19.84,,,,115.38,
1991-11-29,,,,20.26,,,,110.22,
1991-12-02,,,,20.18,,,,115.39,
1991-12-03,,,,19.7,,,,114.43,
1991-12-04,,,,19.54,,,,114.97,
1991-12-05,,,,20.19,,,,113.28,
1991-12-06,,,,19.04,,,,115.49,
1991-12-09,,,,19.74,,,,113.94,
1991-12-10,,,,19.89,,,,113.16,
1991-12-11,,,,20.57,,,,113.39,
1991-12-12,,,,19.08,,,,115.94,
1991-12-13,,,,17.88,,,,116.11,
1991-12-16,,,,17.62,,,,116.96,
1991-12-17,,,,18.12,,,,118.88,
1991-12-18,,,,17.78,,,,119.46,
1991-12-19,,,,17.96,,,,120.35,
1991-12-20,,,,17.65,,,,122.39,
1991-12-23,,,,16.61,,,,125.9,
1991-12-24,,,,15.67,,,,127.03,
1991-12-26,,,,15.44,,,,115.19,
1991-12-27,,,,15.7,,,,114.23,
1991-12-30,,,,17.63,,,,114.25,
1991-12-31,,,,19.31,,,,113.55,
1992-01-02,,,,18.95,,,,116.06,
1992-01-03,,,,18.75,,,,116.28,
1992-01-06,,,,18.96,,,,115.67,
1992-01-07,,,,19.23,,,,116.35,
1992-01-08,,,,18.72,,,,115.53,
1992-01-09,,,,18.96,,,,116.48,
1992-01-10,,,,18.45,,,,116.82,
1992-01-13,,,,18.01,,,,118.2,
1992-01-14,,,,17.01,,,,121.46,
1992-01-15,,,,17.39,,,,121.98,
1992-01-16,,,,17.64,,,,110.85,
1992-01-17,,,,16.32,,,,109.7,
1992-01-20,,,,16.42,,,,110.9,
1992-01-21,,,,17.92,,,,110.2,
1992-01-22,,,,16.75,,,,111.8,
1992-01-23,,,,16.46,,,,109.78,
1992-01-24,,,,16.24,,,,110.29,
1992-01-27,,,,16.67,,,,110.34,
1992-01-28,,,,17.67,,,,110.66,
1992-01-29,,,,17.62,,,,110.73,
1992-01-30,,,,17.49,,,,111.67,
1992-01-31,,,,17.4,,,,110.93,
1992-02-03,,,,18.2,,,,112.16,
1992-02-04,,,,17.96,,,,112.85,
1992-02-05,,,,18.22,,,,112.65,
1992-02-06,,,,18.79,,,,113.77,
1992-02-07,,,,18.51,,,,112.3,
1992-02-10,,,,18.56,,,,113.68,
1992-02-11,,,,17.7,,,,112.85,
1992-02-12,,,,17.37,,,,112.02,
1992-02-13,,,,17.45,,,,113.71,
1992-02-14,,,,17.03,,,,112.84,
1992-02-18,,,,18.22,,,,113.39,
1992-02-19,,,,17.16,,,,110.76,
1992-02-20,,,,16.72,,,,111.02,
1992-02-21,,,,16.87,,,,114.47,
1992-02-24,,,,17.13,,,,111.1,
1992-02-25,,,,16.35,,,,110.69,
1992-02-26,,,,16.64,,,,110.07,
1992-02-27,,,,16.51,,,,112.67,
1992-02-28,,,,16.68,,,,109.06,
1992-03-02,,,,16.88,,,,108.33,
1992-03-03,,,,17.26,,,,112.48,
1992-03-04,,,,17.89,,,,106.06,
1992-03-05,,,,18.47,,,,111.85,
1992-03-06,,,,19.75,,,,110.92,
1992-03-09,,,,19.68,,,,111.23,
1992-03-10,,,,18.68,,,,112.8,
1992-03-11,,,,19.79,,,,112.0,
1992-03-12,,,,19.72,,,,112.35,
1992-03-13,,,,18.35,,,,114.84,
1992-03-16,,,,18.46,,,,118.57,
1992-03-17,,,,16.79,,,,107.29,
1992-03-18,,,,16.69,,,,107.72,
1992-03-19,,,,16.52,,,,107.85,
1992-03-20,,,,16.82,,,,109.36,
1992-03-23,,,,16.73,,,,108.79,
1992-03-24,,,,16.32,,,,106.79,
1992-03-25,,,,16.19,,,,106.65,
1992-03-26,,,,16.29,,,,106.61,
1992-03-27,,,,16.02,,,,107.27,
1992-03-30,,,,15.97,,,,109.43,
1992-03-31,,,,16.18,,,,109.86,
1992-04-01,,,,16.48,,,,112.56,
1992-04-02,,,,17.06,,,,110.56,
1992-04-03,,,,16.72,,,,111.51,
1992-04-06,,,,16.72,,,,108.93,
1992-04-07,,,,18.81,,,,111.24,
1992-04-08,,,,20.15,,,,110.67,
1992-04-09,,,,17.89,,,,115.88,
1992-04-10,,,,16.85,,,,117.1,
1992-04-13,,,,16.99,,,,108.36,
1992-04-14,,,,15.98,,,,108.62,
1992-04-15,,,,15.15,,,,111.79,
1992-04-16,,,,14.85,,,,112.08,
1992-04-20,,,,15.93,,,,110.88,
1992-04-21,,,,16.53,,,,111.26,
1992-04-22,,,,15.96,,,,109.41,
1992-04-23,,,,15.83,,,,110.62,
1992-04-24,,,,15.71,,,,109.72,
1992-04-27,,,,16.49,,,,110.4,
1992-04-28,,,,16.24,,,,110.91,
1992-04-29,,,,15.95,,,,112.49,
1992-04-30,,,,15.53,,,,113.24,
1992-05-01,,,,16.61,,,,113.25,
1992-05-04,,,,16.92,,,,114.51,
1992-05-05,,,,16.66,,,,114.56,
1992-05-06,,,,16.81,,,,112.81,
1992-05-07,,,,16.54,,,,111.48,
1992-05-08,,,,15.65,,,,113.06,
1992-05-11,,,,15.17,,,,112.96,
